Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.mappingcdafhir.json	9096	-	0	0	0	0	0	0	15	84	0	0	0	0	0	0	0	1	0	0	19	146	241	0	0	0	8	0	1
fsh-generated/resources/ConceptMap-CdaADToAddressConceptMap.json	4436	6	0	0	2	0	0	0	1	18	0	0	0	0	1	0	0	0	0	0	10	42	154	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CdaBLToBooleanConceptMap.json	948	3	0	0	1	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	9	16	104	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CdaCECSCDToCodeConceptMap.json	7082	4	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	9	69	154	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-CdaENPNToHumanNameConceptMap.json	5442	3	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	8	45	89	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CdaIIToIdentifierConceptMap.json	2488	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	27	69	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CdaINTToIntegerConceptMap.json	939	2	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	3	13	51	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-CdaIVL-TSToPeriodConceptMap.json	2028	2	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	3	21	58	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CdaPQToQuantityConceptMap.json	1825	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	20	81	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CdaRTO-PQ-PQToRatioConceptMap.json	1496	2	0	0	0	0	0	0	0	687	0	0	0	0	0	0	0	0	0	0	4	15	52	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-CdaSTEDONToStringConceptMap.json	2078	2	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	3	22	54	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CdaTELToContactPointConceptMap.json	2226	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	22	46	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CdaTSToDateTimeConceptMap.json	2153	2	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	4	17	51	0	1	0	0	0	1
input/fml/CDAFrMDEToBundle.fml	7746	7	0	0	0	0	0	0	5	32	0	0	0	0	0	0	0	1	0	0	6	166	88	0	0	0	6	0	0
input/fml/CDAFrToBundle.fml	11481	7	0	0	0	0	0	0	5	34	0	0	0	0	0	0	0	0	0	0	7	187	83	0	0	0	8	0	0
input/fml/CDAtoFHIRTypes.fml	9762	14	0	0	0	0	0	0	7	39	0	0	0	0	0	0	0	1	0	0	7	202	114	0	0	0	10	0	0
input/fml/CdaToBundle.fml	24655	24	0	0	0	0	0	0	15	77	0	0	0	0	0	0	0	1	0	0	13	449	232	0	0	0	23	0	1
input/resources/Bundle-fe569e1f-32d4-4ba4-b5ad-88082bf5470a.json	19447	13	48	0	1	0	0	0	1	1026	0	0	0	0	0	0	0	0	0	0	9	70	151	0	0	0	0	0	0
input/resources/ConceptMap-cm-oid-specialite-ordinale.json	1231	4	0	0	0	0	0	0	1	1627	0	0	0	0	1	0	0	0	0	0	3	14	50	0	0	0	1	0	0
input/resources/ConceptMap-cm-v3-administrative-gender.json	1926	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	17	40	0	0	0	0	0	0
input/resources/ConceptMap-oid2uri-ans.json	777	2	0	0	0	0	0	0	0	414	0	0	0	0	0	0	0	0	0	0	3	9	521	0	0	0	1	0	0
/fsh-generated/includes/menu.xml	2121	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	1179	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/data/features.yml	166	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/mapping-cda-fhir.md	45	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
