Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.mappingcdafhir.json	9540	-	0	0	0	0	0	0	19	81	0	0	0	0	0	0	0	1	0	0	23	170	336	0	0	0	3	0	2
fsh-generated/resources/ConceptMap-CdaADToAddressConceptMap.json	4436	5	0	0	2	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	10	49	206	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CdaBLToBooleanConceptMap.json	948	3	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	8	18	126	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-CdaCECSCDToCodeConceptMap.json	7082	4	0	0	0	0	0	0	2	21	0	0	0	0	0	0	0	0	0	0	8	70	194	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-CdaENPNToHumanNameConceptMap.json	5442	3	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	9	48	106	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CdaIIToIdentifierConceptMap.json	2488	3	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	8	27	72	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CdaINTToIntegerConceptMap.json	939	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	16	60	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-CdaIVL-TSToPeriodConceptMap.json	2028	3	0	0	1	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	8	22	66	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CdaPQToQuantityConceptMap.json	1825	2	0	0	0	0	0	0	1	5	0	0	0	0	1	0	0	0	0	0	9	24	66	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-CdaRTO-PQ-PQToRatioConceptMap.json	1496	3	0	0	0	0	0	0	0	792	0	0	0	0	0	0	0	0	0	0	7	17	67	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CdaSTEDONToStringConceptMap.json	2078	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7	21	63	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-CdaTELToContactPointConceptMap.json	2226	2	0	0	0	0	0	0	1	5	0	0	0	0	1	0	0	0	0	0	6	20	58	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CdaTSToDateTimeConceptMap.json	2153	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	20	70	0	0	0	1	0	1
input/fml/CDAFrToBundle.fml	46647	28	0	0	0	0	0	0	23	131	0	0	0	0	1	0	0	2	0	0	20	730	503	0	0	0	21	0	4
input/fml/CDAtoFHIRTypes.fml	18887	13	0	0	0	0	0	0	6	55	0	0	0	0	0	0	0	0	0	0	12	329	213	0	1	0	8	0	3
input/fml/CdaPatientSummaryToBundle.fml	254575	119	0	0	0	0	0	0	75	389	0	0	0	0	0	0	0	5	0	0	67	2654	1652	0	0	0	85	0	31
input/fml/CdaToBundle.fml	43249	19	0	0	0	0	0	0	10	67	0	0	0	0	1	0	0	0	0	0	15	493	244	0	0	0	19	0	4
input/resources/Bundle-fe569e1f-32d4-4ba4-b5ad-88082bf5470a.json	19447	10	38	0	0	0	0	0	1	390	0	0	0	0	0	0	0	0	0	0	13	86	283	0	0	0	0	0	0
input/resources/ConceptMap-cm-oid-specialite-ordinale.json	1231	4	0	0	0	0	0	0	0	518	0	0	0	0	0	0	0	0	0	0	6	13	89	0	0	0	1	0	0
input/resources/ConceptMap-cm-v3-administrative-gender.json	1926	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	6	17	76	0	0	0	0	0	0
input/resources/ConceptMap-oid2uri-ans.json	777	2	0	0	0	0	0	0	0	500	0	0	0	0	1	0	0	0	0	0	5	11	821	0	0	0	1	0	0
/fsh-generated/includes/menu.xml	2388	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
