Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.mappingcdafhir.json	9096	-	0	0	0	0	0	0	18	64	0	0	0	0	0	0	0	1	0	0	17	158	269	0	1	0	4	0	1
fsh-generated/resources/ConceptMap-CdaADToAddressConceptMap.json	4436	5	0	0	3	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	8	47	186	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-CdaBLToBooleanConceptMap.json	948	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	17	115	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-CdaCECSCDToCodeConceptMap.json	7082	4	0	0	0	0	0	0	2	10	0	0	0	0	0	0	0	0	0	0	7	72	177	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-CdaENPNToHumanNameConceptMap.json	5442	4	0	0	0	0	0	0	1	9	0	0	0	0	1	0	0	0	0	1	5	48	97	0	0	0	1	0	1
fsh-generated/resources/ConceptMap-CdaIIToIdentifierConceptMap.json	2488	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	30	67	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CdaINTToIntegerConceptMap.json	939	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	16	56	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CdaIVL-TSToPeriodConceptMap.json	2028	3	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	3	25	60	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CdaPQToQuantityConceptMap.json	1825	2	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	4	23	57	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-CdaRTO-PQ-PQToRatioConceptMap.json	1496	2	0	0	0	0	0	0	0	554	0	0	0	0	0	0	0	1	0	0	4	15	62	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CdaSTEDONToStringConceptMap.json	2078	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	3	23	61	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CdaTELToContactPointConceptMap.json	2226	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	23	52	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-CdaTSToDateTimeConceptMap.json	2153	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	2	24	66	0	0	0	1	0	0
input/fml/CDAFrMDEToBundle.fml	7746	10	0	0	0	0	0	0	3	31	0	0	0	0	1	0	0	0	0	0	4	164	109	0	0	0	6	0	0
input/fml/CDAFrToBundle.fml	11481	10	0	0	0	0	0	0	3	25	0	0	0	0	0	0	0	1	0	0	4	199	117	0	0	0	7	0	1
input/fml/CDAtoFHIRTypes.fml	9762	16	0	0	0	0	0	0	4	36	0	0	0	0	0	0	0	0	0	0	4	206	173	0	0	0	9	0	0
input/fml/CdaToBundle.fml	24655	27	0	0	0	0	0	0	9	70	0	0	0	0	0	0	0	1	0	0	12	373	233	0	0	0	22	0	1
input/resources/Bundle-fe569e1f-32d4-4ba4-b5ad-88082bf5470a.json	19447	11	41	0	1	0	0	0	1	982	0	0	0	0	0	0	0	0	0	0	8	78	162	0	0	0	0	0	0
input/resources/ConceptMap-cm-oid-specialite-ordinale.json	1231	2	0	0	0	0	0	0	0	2918	0	0	0	0	0	0	0	0	0	0	3	10	49	0	0	0	1	0	0
input/resources/ConceptMap-cm-v3-administrative-gender.json	1926	2	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	2	13	45	0	0	0	0	0	0
input/resources/ConceptMap-oid2uri-ans.json	777	1	0	0	0	0	0	0	0	1048	0	0	0	0	0	0	0	0	0	0	2	14	789	0	0	0	1	0	0
/fsh-generated/includes/menu.xml	2121	-	-	-	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	1179	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/data/features.yml	166	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/mapping-cda-fhir.md	45	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/guide-demarrage.md	9138	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
/input/pagecontent/mapping-mechanisms.md	33966	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0
/input/pagecontent/outils-mapping.md	19284	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
/input/pagecontent/change-log.md	333	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/translationinfo.md	59	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	5434	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
