Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.mappingcdafhir.json	9650	-	0	0	0	0	0	0	18	85	0	0	0	0	0	0	0	1	0	0	17	161	261	0	0	0	6	0	0
fsh-generated/resources/ConceptMap-CdaADToAddressConceptMap.json	4736	5	0	0	2	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	11	47	192	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CdaBLToBooleanConceptMap.json	978	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	8	18	90	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CdaCECSCDToCodeConceptMap.json	7450	3	0	0	0	0	0	0	1	12	0	0	0	0	1	0	0	0	0	0	10	59	148	0	1	0	1	0	1
fsh-generated/resources/ConceptMap-CdaENPNToHumanNameConceptMap.json	5784	2	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	9	41	73	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CdaIIToIdentifierConceptMap.json	3391	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	5	28	61	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CdaINTToIntegerConceptMap.json	972	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	14	40	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CdaIVL-TSToPeriodConceptMap.json	2162	2	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	3	20	48	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-CdaPQToQuantityConceptMap.json	1969	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	3	30	53	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CdaRTO-PQ-PQToRatioConceptMap.json	1499	2	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	3	15	57	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-CdaSTEDONToStringConceptMap.json	2078	1	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	3	19	64	0	0	0	1	0	0
